genre,rating,runtime,title,votes,year,ratingRange,runtimeRange
"Comedy, Drama",6.6,138.0,Chhakka Panja 2,290.0,2017.0,average,>120mins
Comedy,6.3,,Chhakka Panja 3,96.0,2018.0,average,
Romance,7.3,120.0,Intu Mintu Londonma,71.0,2018.0,high,60-120
"Comedy, Drama, Romance",8.6,,Kabaddi Kabaddi Kabaddi,9.0,2019.0,high,
"Drama, Sport",3.2,,Captain,46.0,2019.0,low,
Drama,7.1,95.0,Bulbul,18.0,2019.0,high,60-120
"Comedy, Drama",7.9,135.0,Kabaddi Kabaddi,343.0,2015.0,high,>120mins
Romance,6.9,142.0,Nai Nabhannu La 2,7.0,2014.0,average,>120mins
"Drama, Romance",8.5,140.0,Saili,17.0,2019.0,high,>120mins
"Documentary, Adventure, Drama",7.7,99.0,Death Zone: Cleaning Mount Everest,102.0,2018.0,high,60-120
Comedy,8.2,,Jatrai Jatra,52.0,2019.0,high,
Drama,7.0,163.0,Muna Madan,104.0,2003.0,average,>120mins
"Drama, History",7.7,90.0,Jhola,249.0,2013.0,high,60-120
Romance,7.5,138.0,Prem Geet,30.0,2016.0,high,>120mins
"Comedy, Drama",6.8,138.0,Shatru Gate,100.0,2018.0,average,>120mins
"Comedy, Drama, Romance",8.0,138.0,Jhyanakuti,27.0,2017.0,high,>120mins
"Adventure, Drama",7.1,89.0,Seto Surya,397.0,2016.0,high,60-120
"Action, Drama, History",7.2,90.0,Kalo Pothi,466.0,2015.0,high,60-120
"Drama, Romance",7.7,138.0,A Mero Hajur 2,194.0,2017.0,high,>120mins
"Comedy, Drama, Family",6.8,130.0,Chhakka Panja,160.0,2016.0,average,>120mins
"Comedy, Drama, Romance",8.2,123.0,Kabaddi,434.0,2014.0,high,>120mins
,,125.0,Password,,2019.0,,>120mins
Comedy,6.0,138.0,Jai Bhole,20.0,2018.0,average,>120mins
"Drama, Romance",8.8,140.0,Pashupati Prasad,1.0,2016.0,high,>120mins
Comedy,2.2,,Daal Bhat Tarkari,19.0,2019.0,low,
"Action, Drama",7.5,,The Man from Kathmandu Vol. 1,20.0,2019.0,high,
"Drama, Romance",8.0,100.0,Highway to Dhampus,158.0,2014.0,high,60-120
"Action, Drama",6.5,138.0,Kri,112.0,2018.0,average,>120mins
Drama,8.6,130.0,Bobby,24.0,2018.0,high,>120mins
Romance,,,Summer Love,,2019.0,,
"Short, Drama",,19.0,Yarne,,,,<60
"Action, Drama",7.5,138.0,Dui Rupaiyan,137.0,2017.0,high,>120mins
Drama,,,Facebook,,2012.0,,
Drama,9.1,,Balidaan,31.0,1997.0,high,
"Action, Comedy, Drama",8.2,150.0,Jatra,159.0,2016.0,high,>120mins
"Action, Crime",7.4,129.0,Xira,5.0,2019.0,high,>120mins
Comedy,5.5,130.0,Woda Number 6,16.0,2015.0,average,>120mins
Romance,,,Kanchhi,,2018.0,,
"Drama, Romance",7.7,,Mr. Jholay,38.0,2018.0,high,
Romance,,,Kaira,,2018.0,,
"Drama, Romance",7.8,,Ghampani,46.0,2017.0,high,
"Drama, Romance",6.3,125.0,A Mero Hajur 3,26.0,2019.0,average,>120mins
"Drama, Romance",7.5,138.0,Romeo & Muna,8.0,2018.0,high,>120mins
Drama,,,Kismat,,2007.0,,
"Comedy, Drama, Romance",6.8,,The Break Up,5.0,2019.0,average,
"Drama, Thriller",,138.0,Sherbahadur,,2018.0,,>120mins
"Action, Comedy",7.4,138.0,Hami Tin Bhai,17.0,2004.0,high,>120mins
"Crime, Drama, Thriller",8.1,138.0,Loot,746.0,2012.0,high,>120mins
Drama,9.0,,Muglan,6.0,2005.0,high,
"Drama, Romance",7.7,138.0,Prem Geet 2,107.0,2017.0,high,>120mins
Romance,7.3,,Timi Sanga,7.0,2018.0,high,
"Documentary, Short",,36.0,The Last Honey Hunter,,2018.0,,<60
"Drama, Romance",7.0,138.0,Aishwarya,6.0,2017.0,average,>120mins
Romance,,,Notebook,,2013.0,,
"Short, Music",8.5,4.0,Hemant Rana: Saili,22.0,2017.0,high,<60
"Drama, Musical",8.8,134.0,Maitighar,19.0,1966.0,high,>120mins
"Short, Drama",8.8,15.0,Ashmina,31.0,2018.0,high,<60
"Documentary, Short",9.5,,Herne Katha,56.0,2018.0,high,
Comedy,7.9,30.0,Harke Haldar,10.0,2011.0,high,<60
Romance,7.1,,Changa Chet,7.0,2018.0,high,
"Drama, Romance",6.7,129.0,Ritu Nepali Feature Film,21.0,2014.0,average,>120mins
,8.0,,Yug Dekhi Yug Samma,24.0,1991.0,high,
Drama,8.4,149.0,Deuta,14.0,1993.0,high,>120mins
"History, Musical, Romance",7.9,164.0,Basanti,74.0,2000.0,high,>120mins
"Action, Crime, Drama",6.1,130.0,Loot 2,153.0,2017.0,average,>120mins
"Action, Drama",8.2,133.0,Talakjung vs Tulke,465.0,2014.0,high,>120mins
"Drama, Family",,,Homework,,2016.0,,
